ID,Job Title,Skill
1,Data Analyst,"Sql, Excel, Power Bi, Reporting, Data Cleaning, Tableau"
2,Data Scientist,"Statistics, Pandas, Sql, Machine Learning, Nlp, Deep Learning, Python"
3,Software Engineer,"System Design, Agile, Git, Docker, Java"
4,Ml Engineer,"Python, Computer Vision, Keras, Mlops, Tensorflow"
5,Software Engineer,"Rest Apis, Agile, Docker, System Design, Spring Boot, Git"
6,Data Analyst,"Excel, Sql, Power Bi, Data Cleaning, Reporting, Tableau"
7,Software Engineer,"Rest Apis, Agile, Docker, Git, Java, Spring Boot, System Design"
8,Product Manager,"Stakeholder Management, Agile, User Stories, Product Roadmap"
9,Data Analyst,"Excel, Power Bi, Reporting, Tableau, Data Cleaning"
10,Ml Engineer,"Mlops, Python, Keras, Pytorch"
11,Data Analyst,"Tableau, Sql, Power Bi, Reporting, Excel, Data Cleaning"
12,Data Analyst,"Excel, Sql, Reporting, Data Cleaning"
13,Product Manager,"Agile, User Stories, Stakeholder Management"
14,Ml Engineer,"Pytorch, Computer Vision, Keras"
15,Ml Engineer,"Pytorch, Python, Computer Vision, Keras, Tensorflow, Mlops, Cloud"
16,Data Scientist,"Deep Learning, Sql, Nlp, Pandas"
17,Data Analyst,"Data Cleaning, Power Bi, Sql, Tableau, Reporting"
18,Data Analyst,"Sql, Data Cleaning, Tableau, Reporting, Power Bi, Excel"
19,Product Manager,"Scrum, Agile, Stakeholder Management, Product Roadmap, User Stories"
20,Data Scientist,"Pandas, Machine Learning, Nlp, Python, Deep Learning, Sql, Statistics"
21,Ml Engineer,"Computer Vision, Cloud, Keras"
22,Data Scientist,"Python, Sql, Deep Learning, Nlp, Machine Learning"
23,Product Manager,"User Stories, Scrum, Product Roadmap, Stakeholder Management, Agile"
24,Data Analyst,"Excel, Tableau, Reporting, Power Bi, Sql, Data Cleaning"
25,Data Analyst,"Reporting, Sql, Tableau"
26,Ml Engineer,"Tensorflow, Mlops, Keras, Computer Vision"
27,Product Manager,"Product Roadmap, Agile, Scrum, Stakeholder Management"
28,Product Manager,"Stakeholder Management, User Stories, Agile, Scrum, Product Roadmap"
29,Product Manager,"User Stories, Product Roadmap, Agile, Stakeholder Management, Scrum"
30,Data Analyst,"Data Cleaning, Sql, Reporting, Tableau"
31,Product Manager,"Scrum, Product Roadmap, Stakeholder Management, User Stories, Agile"
32,Data Scientist,"Pandas, Nlp, Sql, Statistics, Python, Machine Learning, Deep Learning"
33,Data Scientist,"Statistics, Machine Learning, Nlp, Sql, Pandas, Deep Learning"
34,Software Engineer,"Rest Apis, Git, Agile, Docker, Spring Boot"
