ID,Job Title,Skill
1,data analyst,"sql,excel,power bi,reporting,data cleaning,tableau"
2,data scientist,"statistics,pandas,sql,machine learning,nlp,deep learning,python"
3,software engineer,"system design,agile,git,docker,java"
4,ml engineer,"python,computer vision,keras,mlops,tensorflow"
5,software engineer,"rest apis,agile,docker,system design,spring boot,git"
6,data analyst,"excel,sql,power bi,data cleaning,reporting,tableau"
7,software engineer,"rest apis,agile,docker,git,java,spring boot,system design"
8,product manager,"stakeholder management,agile,user stories,product roadmap"
9,data analyst,"excel,power bi,reporting,tableau,data cleaning"
10,ml engineer,"mlops,python,keras,pytorch"
11,data analyst,"tableau,sql,power bi,reporting,excel,data cleaning"
12,data analyst,"excel,sql,reporting,data cleaning"
13,product manager,"agile,user stories,stakeholder management"
14,ml engineer,"pytorch,computer vision,keras"
15,ml engineer,"pytorch,python,computer vision,keras,tensorflow,mlops,cloud"
16,data scientist,"deep learning,sql,nlp,pandas"
17,data analyst,"data cleaning,power bi,sql,tableau,reporting"
18,data analyst,"sql,data cleaning,tableau,reporting,power bi,excel"
19,product manager,"scrum,agile,stakeholder management,product roadmap,user stories"
20,data scientist,"pandas,machine learning,nlp,python,deep learning,sql,statistics"
21,ml engineer,"computer vision,cloud,keras"
22,data scientist,"python,sql,deep learning,nlp,machine learning"
23,product manager,"user stories,scrum,product roadmap,stakeholder management,agile"
24,data analyst,"excel,tableau,reporting,power bi,sql,data cleaning"
25,data analyst,"reporting,sql,tableau"
26,ml engineer,"tensorflow,mlops,keras,computer vision"
27,product manager,"product roadmap,agile,scrum,stakeholder management"
28,product manager,"stakeholder management,user stories,agile,scrum,product roadmap"
29,product manager,"user stories,product roadmap,agile,stakeholder management,scrum"
30,data analyst,"data cleaning,sql,reporting,tableau"
31,product manager,"scrum,product roadmap,stakeholder management,user stories,agile"
32,data scientist,"pandas,nlp,sql,statistics,python,machine learning,deep learning"
33,data scientist,"statistics,machine learning,nlp,sql,pandas,deep learning"
34,software engineer,"rest apis,git,agile,docker,spring boot"
35,ml engineer,"cloud,computer vision,python"
36,data scientist,"pandas,machine learning,python,sql,nlp"
37,data scientist,"sql,pandas,deep learning,nlp"
38,software engineer,"system design,spring boot,agile,rest apis"
39,product manager,"stakeholder management,scrum,product roadmap"
40,software engineer,"system design,rest apis,java,git"
41,product manager,"scrum,agile,stakeholder management,user stories,product roadmap"
42,data scientist,"pandas,deep learning,nlp,sql,machine learning,statistics"
43,data analyst,"sql,power bi,tableau"
44,data scientist,"python,statistics,machine learning,pandas,sql,nlp"
45,software engineer,"spring boot,rest apis,agile,java"
