CandidateID,Skill
1,"Sql, Power Bi, Excel, Tableau"
2,"Python, Deep Learning, Nlp, Machine Learning, Pandas, Word"
3,"Git, System Design, Java, Spring Boot, Rest Apis, Docker"
4,"Tensorflow, Mlops, Keras"
5,"Rest Apis, Agile, Spring Boot, System Design, Git, Java"
6,"Data Cleaning, Power Bi"
7,"System Design, Spring Boot"
8,"Product Roadmap, User Stories"
9,"Sql, Data Cleaning, Power Bi, Reporting"
10,"Computer Vision, Python"
11,"Data Cleaning, Excel"
12,"Power Bi, Reporting"
13,"Product Roadmap, User Stories, Stakeholder Management, Scrum"
14,"Pytorch, Mlops, Python, Tensorflow, Keras, Cloud"
15,"Mlops, Keras, Computer Vision"
16,"Nlp, Machine Learning, Python"
17,"Power Bi, Reporting, Excel, Data Cleaning"
18,"Power Bi, Excel, Sql, Tableau"
19,"Product Roadmap, Stakeholder Management, Scrum"
20,"Machine Learning, Python, Sql, Statistics, Nlp"
21,"Computer Vision, Cloud, Keras, Mlops, Python"
22,"Nlp, Machine Learning, Statistics, Sql, Deep Learning, Pandas"
23,"Scrum, Agile, Stakeholder Management, Product Roadmap, User Stories"
24,"Reporting, Tableau, Data Cleaning, Power Bi, Sql"
25,"Reporting, Power Bi, Data Cleaning, Sql"
26,"Computer Vision, Mlops, Cloud, Keras, Pytorch"
27,"Agile, Stakeholder Management, Scrum, User Stories"
28,"Agile, Stakeholder Management, User Stories"
29,"Scrum, Product Roadmap, User Stories, Stakeholder Management, Agile"
30,"Data Cleaning, Sql, Reporting"
31,"Stakeholder Management, Product Roadmap, User Stories, Agile"
32,"Sql, Pandas"
33,"Statistics, Python, Pandas, Sql, Machine Learning"
34,"Spring Boot, Agile"
35,"Pytorch, Tensorflow, Keras, Cloud, Computer Vision"
36,"Deep Learning, Sql, Python"
37,"Statistics, Machine Learning, Deep Learning, Pandas, Nlp"
38,"Spring Boot, Agile, Java, System Design"
39,"Agile, Product Roadmap, User Stories, Scrum"
40,"Java, Agile, Git"
41,"Scrum, Stakeholder Management, Agile"
42,"Python, Statistics, Machine Learning, Nlp"
43,"Reporting, Tableau, Sql, Power Bi, Excel"
44,"Deep Learning, Machine Learning, Nlp, Python"
45,"System Design, Git, Java, Spring Boot, Docker, Agile"
46,"Power Bi, Sql, Data Cleaning, Excel"
47,Computer Vision
48,"Python, Cloud, Pytorch, Mlops, Computer Vision"
49,"Statistics, Machine Learning, Sql, Nlp"
50,"Pandas, Sql, Python, Nlp, Deep Learning"
51,"Agile, Rest Apis, Docker, System Design, Git, Spring Boot"
52,"Stakeholder Management, Scrum"
53,"Scrum, Agile, User Stories, Stakeholder Management"
54,"Product Roadmap, Agile, Scrum, Stakeholder Management"
55,"Python, Nlp, Pandas"
56,"Power Bi, Reporting, Tableau, Excel"
57,"Deep Learning, Machine Learning, Pandas"
58,"Sql, Pandas, Machine Learning, Deep Learning, Statistics, Nlp, Python"
59,"Spring Boot, System Design, Docker, Rest Apis"
60,"Pytorch, Computer Vision, Cloud, Keras, Tensorflow, Python"
61,"Excel, Tableau, Data Cleaning, Reporting, Sql"
62,"System Design, Docker, Git, Rest Apis, Word"
63,"Deep Learning, Pandas, Nlp, Python"
64,"Mlops, Python, Keras, Tensorflow, Cloud"
65,"Pytorch, Computer Vision, Python, Keras"
66,"Data Cleaning, Sql, Power Bi, Reporting, Tableau"
67,"Python, Deep Learning, Machine Learning"
68,"Spring Boot, Rest Apis, Git, Docker, Java"
69,"Statistics, Machine Learning, Nlp, Sql, Deep Learning"
70,"System Design, Java, Spring Boot, Rest Apis, Git"
71,"Java, System Design"
72,"Agile, Scrum, Product Roadmap, User Stories, Stakeholder Management"
73,"Keras, Computer Vision, Cloud, Mlops"
74,"Scrum, Stakeholder Management, User Stories"
75,"Reporting, Sql"
76,"Python, Pytorch, Computer Vision"
77,"Excel, Data Cleaning, Reporting, Sql"
78,"Stakeholder Management, User Stories, Product Roadmap, Scrum, Agile"
79,"Reporting, Data Cleaning, Sql, Tableau, Excel"
80,"System Design, Java, Git, Spring Boot"
81,"Python, Mlops, Tensorflow, Pytorch"
82,"Stakeholder Management, Scrum, Agile, Product Roadmap"
83,"User Stories, Agile, Product Roadmap"
84,"Scrum, Agile"
85,"System Design, Rest Apis, Git, Docker, Java"
86,"Nlp, Statistics, Pandas"
87,"Machine Learning, Sql, Nlp, Deep Learning, Statistics"
88,"Power Bi, Reporting, Sql"
89,"Computer Vision, Mlops"
90,"Excel, Sql, Tableau"
91,"Rest Apis, Spring Boot, Agile, Java, Docker"
92,"Java, Spring Boot, System Design, Organization"
93,"Sql, Nlp, Python"
94,"Stakeholder Management, Scrum, User Stories, Agile, Product Roadmap"
95,"Tableau, Power Bi, Data Cleaning, Word"
96,"Sql, Python, Nlp, Statistics, Pandas, Machine Learning"
97,"Java, Docker, System Design"
98,"Sql, Deep Learning, Nlp, Pandas, Python, Statistics"
99,Statistics
100,"Machine Learning, Nlp, Pandas, Python"
101,"Pytorch, Python, Keras, Computer Vision, Tensorflow, Mlops"
102,"Java, Docker"
103,"Git, Rest Apis, System Design, Docker, Java"
104,"Pytorch, Keras, Python, Tensorflow, Cloud"
105,"Pytorch, Keras, Mlops, Python, Tensorflow, Computer Vision"
106,"Cloud, Mlops"
107,"Java, Git, Agile"
108,"Cloud, Keras, Pytorch, Tensorflow, Computer Vision, Mlops"
109,"Power Bi, Data Cleaning, Reporting, Excel, Tableau, Sql"
110,"Docker, System Design"
111,Computer Vision
112,"Mlops, Keras"
113,"System Design, Rest Apis, Java, Spring Boot, Docker"
114,"Pytorch, Cloud"
115,"Statistics, Deep Learning, Machine Learning"
116,"Mlops, Computer Vision, Tensorflow"
117,"System Design, Spring Boot"
118,"Product Roadmap, Scrum"
119,"Sql, Statistics, Machine Learning, Python"
120,"Spring Boot, Git, Java, Docker, Rest Apis, System Design"
121,"Pytorch, Computer Vision, Python, Mlops, Cloud"
122,"User Stories, Agile, Stakeholder Management"
123,"Tableau, Sql, Data Cleaning, Reporting, Excel"
124,"Stakeholder Management, Agile"
125,"Agile, Rest Apis, System Design, Spring Boot, Git"
126,"Excel, Reporting, Sql, Power Bi, Data Cleaning, Tableau"
127,"Sql, Nlp, Pandas"
128,"Data Cleaning, Reporting, Power Bi"
129,"Mlops, Keras, Computer Vision, Python"
130,"Keras, Mlops, Tensorflow"
131,"Computer Vision, Mlops, Keras, Cloud"
132,"Machine Learning, Pandas"
133,"Pytorch, Computer Vision, Cloud, Tensorflow"
134,"Reporting, Tableau, Sql"
135,"Scrum, Agile, Stakeholder Management, Product Roadmap, User Stories"
136,"Product Roadmap, User Stories, Stakeholder Management, Scrum"
137,"Data Cleaning, Reporting, Excel"
138,"Deep Learning, Sql, Pandas, Statistics"
139,"Excel, Power Bi, Tableau, Data Cleaning, Reporting, Sql"
140,"Agile, Spring Boot"
141,"Agile, User Stories, Stakeholder Management, Product Roadmap, Scrum"
142,"Scrum, Agile, Stakeholder Management, User Stories, Product Roadmap"
143,"Machine Learning, Nlp, Statistics, Deep Learning"
144,"Scrum, User Stories, Product Roadmap"
145,"Tensorflow, Computer Vision"
146,"Power Bi, Data Cleaning"
147,"Scrum, Stakeholder Management, Agile"
148,"Sql, Tableau, Excel"
149,"Pandas, Nlp, Sql"
150,"Keras, Computer Vision"
151,"Excel, Reporting, Power Bi, Data Cleaning, Tableau"
152,"Statistics, Sql"
153,"Excel, Data Cleaning, Tableau, Sql, Power Bi, Reporting"
154,"Git, Rest Apis, Spring Boot"
155,"Reporting, Power Bi"
156,"Sql, Deep Learning"
157,"Machine Learning, Nlp, Pandas, Python"
158,"Tensorflow, Pytorch"
159,"Python, Nlp, Sql, Pandas, Statistics"
160,"Excel, Power Bi, Sql, Data Cleaning, Reporting, Tableau"
161,"Python, Statistics, Sql, Nlp, Pandas"
162,"Cloud, Keras, Computer Vision, Python"
163,Deep Learning
164,"System Design, Spring Boot, Rest Apis, Agile, Docker"
165,Stakeholder Management
166,"Deep Learning, Machine Learning, Sql, Nlp"
167,"Product Roadmap, Stakeholder Management, Scrum, User Stories, Agile"
168,"Data Cleaning, Excel, Sql"
169,"Python, Machine Learning, Deep Learning, Statistics, Sql"
170,"Computer Vision, Pytorch, Keras, Python"
171,"Stakeholder Management, Product Roadmap, Scrum, Agile"
172,"Cloud, Pytorch"
173,"Docker, Agile, Java, System Design"
174,"Power Bi, Data Cleaning, Reporting"
175,"Stakeholder Management, Scrum, Agile, Product Roadmap"
176,"Cloud, Pytorch, Keras, Mlops"
177,"Reporting, Excel, Power Bi, Sql"
178,"Keras, Pytorch, Mlops, Python, Tensorflow, Computer Vision, Cloud"
179,"Scrum, User Stories"
180,"Sql, Python, Nlp, Statistics, Pandas"
181,"Statistics, Machine Learning, Python"
182,"Java, Rest Apis, Agile, Git, System Design"
183,"Git, Agile, System Design"
184,"Java, Git, Agile, System Design, Rest Apis"
185,"Sql, Nlp, Machine Learning, Deep Learning"
186,"Tableau, Sql, Organization"
187,"Agile, Scrum, Product Roadmap, User Stories, Stakeholder Management"
188,"Tableau, Sql, Reporting, Excel"
189,"Product Roadmap, User Stories, Stakeholder Management, Scrum, Agile"
190,"Spring Boot, Agile, Docker"
191,"Git, Docker, System Design"
192,"System Design, Java, Docker, Rest Apis, Spring Boot"
193,"Excel, Sql, Data Cleaning, Power Bi"
194,"Stakeholder Management, Product Roadmap, Scrum"
195,"Data Cleaning, Excel, Power Bi, Reporting, Sql"
196,"Pandas, Sql, Python, Nlp"
197,"System Design, Java, Spring Boot"
198,"Power Bi, Excel, Reporting, Data Cleaning, Tableau"
199,"Sql, Tableau, Excel, Reporting"
200,"Excel, Data Cleaning, Reporting"
201,"Reporting, Power Bi, Sql, Data Cleaning, Tableau"
202,"Stakeholder Management, Scrum, User Stories, Agile, Product Roadmap"
203,"User Stories, Product Roadmap"
204,"Power Bi, Excel, Reporting, Sql, Data Cleaning, Tableau"
205,"Java, Rest Apis, Spring Boot"
206,"Tableau, Reporting, Excel, Sql, Data Cleaning"
207,"Keras, Pytorch, Cloud"
208,"Agile, Stakeholder Management"
209,"Sql, Statistics, Deep Learning, Machine Learning, Python"
210,Python
211,"Reporting, Data Cleaning, Power Bi, Sql, Word"
212,"Statistics, Pandas, Sql"
213,"User Stories, Scrum, Agile"
214,"Python, Cloud, Mlops"
215,"Computer Vision, Mlops, Keras"
216,"Product Roadmap, Stakeholder Management, Agile, User Stories"
217,"System Design, Git, Rest Apis, Docker, Agile"
218,"Python, Machine Learning, Statistics"
219,"System Design, Java, Rest Apis"
220,"Statistics, Deep Learning, Machine Learning"
221,Agile
222,"Python, Pandas, Nlp, Deep Learning, Statistics"
223,"Excel, Data Cleaning, Tableau, Sql, Reporting"
224,"Docker, Agile, Git, System Design, Spring Boot"
225,"Agile, User Stories, Stakeholder Management, Scrum"
226,"Agile, Rest Apis, Git"
227,"Nlp, Python, Machine Learning, Pandas, Statistics"
228,"Tensorflow, Cloud, Python, Computer Vision"
229,"Java, Rest Apis, Agile"
230,"Sql, Nlp, Machine Learning"
231,"Deep Learning, Statistics, Pandas"
232,"Tensorflow, Cloud, Computer Vision, Pytorch"
